doi,Materials_1,Polymer_1,conjugation_1,Isomer_1,CentroSymmetry_1,mu_e_1,mu_h_1,E_LUMO (eV)_1,E_HOMO (eV)_1,Materials_2,Polymer_2,conjugation_2,Isomer_2,CentroSymmetry_2,mu_e_2,mu_h_2,E_LUMO (eV)_2,E_HOMO (eV)_2
10.1002/adfm.201102941,SiIDT-BT,*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2ccc(*)c4nsnc24)cc1[Si]3(C)C,1,0.0,0,0.0,0.014,-3.1,-5.3,SiIDT-DTBT,*c1ccc(-c2ccc(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,1,0.0,0,0.0,0.28,-3.4,-5.2
10.1002/adfm.201102941,SiIDT-BT,*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2ccc(*)c4nsnc24)cc1[Si]3(C)C,1,0.0,0,0.0,0.014,-3.1,-5.3,SiIDT-2FBT,*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2c(F)c(F)c(*)c4nsnc24)cc1[Si]3(C)C,1,0.0,0,0.0,0.004,-3.1,-5.3
10.1002/adfm.201102941,SiIDT-BT,*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2ccc(*)c4nsnc24)cc1[Si]3(C)C,1,0.0,0,0.0,0.014,-3.1,-5.3,SiIDT-2FDTBT,*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,1,0.0,0,0.0,0.19,-3.2,-5.2
10.1002/adfm.201102941,SiIDT-DTBT,*c1ccc(-c2ccc(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,1,0.0,0,0.0,0.28,-3.4,-5.2,SiIDT-2FBT,*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2c(F)c(F)c(*)c4nsnc24)cc1[Si]3(C)C,1,0.0,0,0.0,0.004,-3.1,-5.3
10.1002/adfm.201102941,SiIDT-DTBT,*c1ccc(-c2ccc(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,1,0.0,0,0.0,0.28,-3.4,-5.2,SiIDT-2FDTBT,*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,1,0.0,0,0.0,0.19,-3.2,-5.2
10.1002/adfm.201102941,SiIDT-2FBT,*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2c(F)c(F)c(*)c4nsnc24)cc1[Si]3(C)C,1,0.0,0,0.0,0.004,-3.1,-5.3,SiIDT-2FDTBT,*c1ccc(-c2c(F)c(F)c(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,1,0.0,0,0.0,0.19,-3.2,-5.2
10.1002/adfm.201300536,PTIIG-T,*c1ccc(-c2cc3c(s2)/C(=C2\C(=O)N(C)c4cc(*)sc42)C(=O)N3C)s1,1,0.0,0,0.0,0.17,-3.62,-5.03,PTIIG-Se,*c1cc2c(s1)/C(=C1\C(=O)N(C)c3cc(-c4ccc(*)[se]4)sc31)C(=O)N2C,1,0.0,0,0.0,0.11,-3.6,-4.95
10.1002/adfm.201300536,PTIIG-T,*c1ccc(-c2cc3c(s2)/C(=C2\C(=O)N(C)c4cc(*)sc42)C(=O)N3C)s1,1,0.0,0,0.0,0.17,-3.62,-5.03,PTIIG-DT,*c1ccc(-c2ccc(-c3cc4c(s3)/C(=C3\C(=O)N(C)c5cc(*)sc53)C(=O)N4C)s2)s1,1,0.0,1,0.0,0.2,-3.5,-5.02
10.1002/adfm.201300536,PTIIG-Se,*c1cc2c(s1)/C(=C1\C(=O)N(C)c3cc(-c4ccc(*)[se]4)sc31)C(=O)N2C,1,0.0,0,0.0,0.11,-3.6,-4.95,PTIIG-DT,*c1ccc(-c2ccc(-c3cc4c(s3)/C(=C3\C(=O)N(C)c5cc(*)sc53)C(=O)N4C)s2)s1,1,0.0,1,0.0,0.2,-3.5,-5.02
10.1002/adfm.201303219,PNDI-TVTO,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(C)C6=O)C(=O)N(C)C4=O)s2)s1,1,0.0,1,0.2,0.0,-4.04,-5.63,TVTOEt-BT,*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3sc(-c4cc(C)c(*)s4)cc3C)s2)s1,1,0.0,1,0.0,0.0032,-3.37,-5.25
