polymer,span_L,n_repeats,oligomer,oligomer_cp_mapped,cp_span_measured,cp_span_expected,span_ok,status
*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2ccc(*)c4nsnc24)cc1[Si]3(C)C,13,1,C[Si]1(C)c2cc3c(cc2-c2sccc21)[Si](C)(C)c1cc(-c2cccc4nsnc24)sc1-3,C[Si]1(C)c2cc3c(cc2-c2sc(-c4cc[cH:2]c5nsnc45)cc21)[Si](C)(C)c1c[cH:1]sc1-3,13,13,True,ok
*c1ccc(-c2ccc(-c3ccc(-c4cc5c(s4)-c4cc6c(cc4[Si]5(C)C)-c4sc(*)cc4[Si]6(C)C)s3)c3nsnc23)s1,19,1,C[Si]1(C)c2cc3c(cc2-c2sccc21)[Si](C)(C)c1cc(-c2ccc(-c4ccc(-c5cccs5)c5nsnc45)s2)sc1-3,C[Si]1(C)c2cc3c(cc2-c2sc(-c4ccc(-c5ccc(-c6cc[cH:1]s6)c6nsnc56)s4)cc21)[Si](C)(C)c1c[cH:2]sc1-3,19,19,True,ok
*c1cc2c(s1)-c1cc3c(cc1[Si]2(C)C)-c1sc(-c2c(F)c(F)c(*)c4nsnc24)cc1[Si]3(C)C,13,1,C[Si]1(C)c2cc3c(cc2-c2sccc21)[Si](C)(C)c1cc(-c2c(F)c(F)cc4nsnc24)sc1-3,C[Si]1(C)c2cc3c(cc2-c2sc(-c4c(F)c(F)[cH:2]c5nsnc45)cc21)[Si](C)(C)c1c[cH:1]sc1-3,13,13,True,ok
*c1ccc(-c2cc3c(s2)/C(=C2\C(=O)N(C)c4cc(*)sc42)C(=O)N3C)s1,10,2,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4ccc(-c5cc6c(s5)/C(=C5\C(=O)N(C)c7cc(-c8cccs8)sc75)C(=O)N6C)s4)sc32)c2sccc21,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4cc[cH:1]s4)sc32)c2sc(-c3ccc(-c4cc5c(s4)/C(=C4\C(=O)N(C)c6c[cH:2]sc64)C(=O)N5C)s3)cc21,21,21,True,ok
*c1cc2c(s1)/C(=C1\C(=O)N(C)c3cc(-c4ccc(*)[se]4)sc31)C(=O)N2C,10,2,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4ccc(-c5cc6c(s5)/C(=C5\C(=O)N(C)c7cc(-c8ccc[se]8)sc75)C(=O)N6C)[se]4)sc32)c2sccc21,CN1C(=O)/C(=C2/C(=O)N(C)c3cc(-c4cc[cH:2][se]4)sc32)c2sc(-c3ccc(-c4cc5c(s4)/C(=C4\C(=O)N(C)c6c[cH:1]sc64)C(=O)N5C)[se]3)cc21,21,21,True,ok
*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c5c(c(*)cc6c5c3C(=O)N(C)C6=O)C(=O)N(C)C4=O)s2)s1,13,1,CCO/C(=C(/OCC)c1ccc(-c2cc3c4c(ccc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)s1)c1cccs1,CCO/C(=C(/OCC)c1cc[cH:1]s1)c1ccc(-c2cc3c4c([cH:2]cc5c4c2C(=O)N(C)C5=O)C(=O)N(C)C3=O)s1,13,13,True,ok
*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3sc(-c4cc(C)c(*)s4)cc3C)s2)s1,13,1,CCO/C(=C(/OCC)c1ccc(-c2sc(-c3cc(C)cs3)cc2C)s1)c1cccs1,CCO/C(=C(/OCC)c1cc[cH:1]s1)c1ccc(-c2sc(-c3cc(C)[cH:2]s3)cc2C)s1,13,13,True,ok
*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc(OC)c(-c4sc(*)cc4OC)s3)s2)s1,13,1,CCO/C(=C(/OCC)c1ccc(-c2cc(OC)c(-c3sccc3OC)s2)s1)c1cccs1,CCO/C(=C(/OCC)c1cc[cH:1]s1)c1ccc(-c2cc(OC)c(-c3s[cH:2]cc3OC)s2)s1,13,13,True,ok
*c1ccc(/C(OCC)=C(\OCC)c2ccc(-c3cc4c(C)c5sc(*)cc5c(C)c4s3)s2)s1,14,1,CCO/C(=C(/OCC)c1ccc(-c2cc3c(C)c4sccc4c(C)c3s2)s1)c1cccs1,CCO/C(=C(/OCC)c1cc[cH:1]s1)c1ccc(-c2cc3c(C)c4s[cH:2]cc4c(C)c3s2)s1,14,14,True,ok
*c1ccc(-c2ccc(-c3cc4sc5c(c4s3)N(C)C(=O)/C5=C3/C(=O)N(C)c4c3sc3cc(*)sc43)s2)s1,17,1,CN1C(=O)/C(=C2/C(=O)N(C)c3c2sc2cc(-c4ccc(-c5cccs5)s4)sc32)c2sc3ccsc3c21,CN1C(=O)/C(=C2/C(=O)N(C)c3c2sc2c[cH:2]sc32)c2sc3cc(-c4ccc(-c5cc[cH:1]s5)s4)sc3c21,17,17,True,ok
